# id	left	top	right	bottom	texture_id
[SPRITES]
##### FIRE ###############
#idle
62000	246	394	259	421	0
62001	186	394	199	421	0

#walk right
62002	275	394	290	421	0
62003	305	395	320	421	0

#walk left
62004	155	394	170	421	0
62005	125	394	140	421	0

#run right
62006	334	394	353	421	0
62007	362	394	381	421	0	
62008	392	395	411	421	0

#run left
62009	93	394	112	421	0
62010	65	394	84	421	0
62011	35	395	54	421	0

#jump walk right left
62012	395	514	410	541	0
62013	35	514	50	541	0

#jump run right left
62014	394	434	413	459	0
62015	33	434	52	459	0

#sit right left
62016	426	478	439	495	0
62017	6	478	19	495	0
#brace right left
62018	425	393	440	422	0
62019	5	393	20	422	0
#shoot right left
62020	276	553	290	581	0
62021	155	553	169	581	0


######RACOON#################
#idle
62022	243	633	264	662	0
62023	182	633	203	662	0

#walk
62024	272	633	294	662	0
62025	303	633	324	661	0

62026	152	633	174	662	0
62027	122	633	143	661	0

#run
62028	331	633	355	662	0
62029	362	633	385	662	0	
62030	393	633	414	661	0

62031	91	633	115	662	0
62032	61	633	84	662	0
62033	32	633	53	661	0

#jump walk
62034	392	753	415	781	0
62035	31	753	54	781	0
#jump run
62036	361	753	384	780	0
62037	61	753	84	780	0

#sit
62038	422	719	443	736	0
62039	2	719	23	736	0

#brace
62040	425	633	440	662	0
62041	5	633	20	662	0

#slow fall
62042	331	714	354	740	0
62043	361	714	384	741	0

62044	91	714	114	740	0
62045	61	714	84	741	0
#tail attack
62046	243	633	264	662	0
62047	243	673	263	700	0	
62049	274	673	295	700	0

#####  BIG ###############
#IDLE
11121	246	154	259	181	0
11111	185	154	201	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

############ SMALL ################
 #IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0


##########################
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#####RACOON##########
#idle
65000	62022	100
65100	62023	100

#walk
65200	62022	100	62024	100	62025	100
65300	62023	100	62026	100	62027	100
#run

65400	62028	20	62029	20	62030	20
65500	62031	20	62032	20	62033	20
#jump walk
65600	62034	100
65700	62035	100
#jump run
65800	62036	100
65900	62037	100

#sit
66000	62038	100
66100	62039	100

#braace
66200	62040	100
66300	62041	100

#slowfall
66400	62042	100	62043	100
66500	62044	100	62045	100
#tail attack
66600	62046	50	62047	50	62049	200

#####fire######
#idle
62100	62000	100
62200	62001	100
#walk right
62300	62000	100	62002	100	62003	100
#walk left
62400	62001	100	62004	100	62005	100
#run right
62500	62006	100	62007	100	62008	100
#run left
62600	62009	100	62010	100	62011	100
#jump walk
62700	62012	100
62800	62013	100
#jump run 
62900	62014	100
63000	62015	100
#sit right left
63100	62016	100
63200	62017	100
#brace right left
63300	62018	100
63400	62019	100
#shoot right left
63500	62020	200
63600	62021	200

###big#####
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100
